N,P,K,temperature,humidity,ph,rainfall,label
66.7,22.3,63.1,25.1,86.2,6.87,0,mango
13.6,65.3,109.9,17.7,81.4,5.51,0,cotton
95.6,60.0,41.5,22.1,78.7,5.66,0,cotton
37.1,45.9,34.2,26.4,74.2,6.25,0,mango
62.7,26.7,147.5,26.3,69.4,6.93,0,mango
124.6,23.4,164.0,29.6,68.7,6.6,0,banana
90.6,39.4,179.9,20.7,64.7,6.18,1,banana
121.4,68.0,111.2,26.4,77.1,6.55,0,mango
134.7,26.3,19.9,19.5,74.6,6.59,0,mango
66.6,116.0,53.9,21.9,71.1,5.6,0,cotton
31.3,7.1,108.8,24.3,74.9,6.76,0,mango
48.0,113.1,143.3,29.1,64.8,6.03,0,mango
128.3,5.0,167.5,27.2,62.1,6.7,1,banana
98.7,88.7,195.6,24.2,70.5,5.56,0,banana
43.1,121.5,16.1,24.7,67.9,6.51,1,mango
97.9,26.8,136.0,22.3,78.9,5.99,0,mango
63.7,24.9,60.8,26.4,80.6,6.81,0,mango
17.1,104.2,22.3,23.5,81.9,6.08,0,mango
117.4,91.7,61.7,31.9,77.3,6.01,0,maize
121.2,5.1,203.5,29.0,76.2,6.17,0,banana
19.9,62.4,121.8,24.0,72.0,6.7,0,mango
125.1,102.6,41.6,19.9,71.7,5.87,0,maize
116.5,128.1,32.7,21.0,67.4,6.31,0,maize
64.3,58.7,91.7,24.8,67.2,6.0,0,mango
54.6,59.6,39.5,26.6,68.2,5.96,0,mango
62.0,133.3,170.2,31.2,64.6,6.45,0,banana
82.8,6.4,132.8,24.6,59.7,6.67,0,mango
112.1,109.6,189.9,22.8,56.7,6.09,0,banana
54.0,13.3,179.1,19.7,73.6,5.93,0,banana
81.7,76.3,168.7,22.2,73.2,5.73,0,banana
16.2,47.2,132.9,22.0,69.6,6.07,0,mango
138.7,80.1,68.5,30.7,65.8,5.59,1,maize
131.8,38.6,152.9,29.3,73.9,5.98,0,banana
79.2,97.1,50.9,23.8,73.3,5.62,0,cotton
30.0,62.5,204.9,23.4,73.7,6.38,0,banana
112.1,33.2,99.9,22.0,67.9,5.98,0,mango
113.5,103.0,167.4,26.3,73.1,6.58,0,banana
52.4,120.8,111.4,23.7,73.3,6.83,0,mango
92.8,14.9,124.6,27.0,68.5,6.65,1,mango
60.9,85.0,136.8,30.5,75.6,5.57,1,rice
56.8,85.8,150.1,20.3,89.3,6.69,0,banana
73.9,127.6,72.0,17.5,89.0,6.81,0,mango
125.1,71.0,145.7,17.6,86.3,6.59,0,mango
76.0,65.9,94.2,25.3,82.8,5.71,0,cotton
92.7,109.0,99.4,25.5,81.0,6.51,0,mango
84.3,128.5,90.0,33.3,75.1,6.78,0,mango
131.1,56.9,18.9,22.9,69.7,5.62,1,cotton
131.3,112.7,202.5,24.5,81.8,6.43,0,banana
18.5,43.1,133.3,19.8,80.6,5.85,0,cotton
10.2,119.4,159.1,14.2,81.4,6.87,1,rice
105.8,94.8,82.1,23.7,90.0,5.58,0,maize
14.2,144.1,173.1,33.5,88.0,6.02,0,banana
97.4,38.2,86.5,27.7,88.0,5.8,0,cotton
65.2,130.1,126.9,26.1,86.6,6.81,0,mango
84.4,122.4,53.8,24.8,83.0,5.51,0,cotton
137.9,60.1,193.0,16.6,79.8,6.22,1,rice
18.5,77.3,158.2,15.7,90.3,6.45,1,rice
16.7,9.1,41.3,25.1,95.0,5.85,0,cotton
79.6,48.8,68.3,25.8,93.8,6.19,0,mango
107.0,30.3,94.8,28.6,89.2,6.33,0,mango
61.1,84.7,37.7,24.9,89.2,5.9,0,mango
136.7,43.3,103.7,17.3,88.4,6.42,0,mango
80.5,34.9,70.6,20.1,87.6,6.96,0,mango
121.4,68.5,105.6,19.5,84.0,6.44,0,mango
111.2,40.9,38.6,24.9,80.9,6.0,0,mango
97.4,19.1,98.0,32.9,79.4,5.89,0,cotton
110.6,134.3,72.3,21.9,77.1,5.71,1,rice
87.8,108.4,21.4,22.8,83.7,6.03,1,rice
67.0,120.2,116.7,13.0,95.0,6.69,1,rice
47.1,88.0,117.7,18.5,95.0,5.78,1,rice
61.7,113.9,99.3,17.6,95.0,5.82,1,rice
131.8,67.9,70.2,31.0,95.0,5.84,0,cotton
96.0,116.3,89.7,32.3,87.2,5.91,0,mango
71.9,61.2,95.0,24.5,86.5,5.74,0,cotton
15.0,103.0,154.8,21.1,87.4,5.8,0,banana
32.5,86.3,189.3,18.2,84.6,5.86,0,banana
106.4,70.4,83.9,21.7,84.2,5.9,0,mango
79.1,33.2,91.2,26.6,79.1,6.48,0,mango
63.7,130.3,46.7,26.0,81.4,5.71,0,cotton
120.3,101.1,82.9,35.4,78.8,6.97,0,maize
64.8,117.4,52.1,20.0,77.1,6.61,1,rice
121.8,106.1,49.8,16.5,86.3,6.74,0,maize
54.9,130.3,204.5,14.7,89.3,5.92,1,rice
111.3,82.9,10.9,18.0,95.0,5.65,1,rice
136.0,109.0,20.6,18.5,89.8,6.03,1,rice
11.7,129.1,126.4,27.0,95.0,6.52,0,mango
116.4,44.8,87.9,24.0,92.1,6.07,0,mango
75.4,138.7,61.8,25.2,89.0,5.68,0,cotton
76.6,22.6,162.6,19.3,86.7,6.83,0,banana
28.9,21.4,59.0,20.6,86.8,6.83,0,mango
52.2,10.2,126.2,22.5,87.4,6.79,0,mango
41.4,89.5,201.4,27.4,84.5,6.36,1,rice
30.7,23.0,43.5,28.1,91.9,6.77,1,rice
26.6,17.8,132.3,24.4,93.4,6.65,0,mango
129.2,26.1,96.1,23.8,94.3,6.15,0,mango
81.0,32.1,38.7,18.6,95.0,6.05,0,mango
