timestamp,umidade,ph,nitrogenio,fosforo,potassio,chuva,irrigacao
2025-01-08 14:24,54.7,5.58,105.2,56.9,80.5,0,0
2025-01-08 18:00,50.8,6.83,93.7,51.1,21.6,1,0
2025-01-08 21:36,63.3,5.87,135.9,61.7,41.2,0,0
2025-01-09 01:12,63.8,5.75,111.1,23.9,197.5,0,0
2025-01-09 04:48,62.0,6.3,15.6,135.3,79.9,0,0
2025-01-09 08:24,61.5,5.64,23.8,25.9,41.4,0,0
2025-01-09 12:00,62.8,5.58,16.1,137.8,27.8,0,0
2025-01-09 15:36,57.2,5.82,109.2,136.3,101.6,0,1
2025-01-09 19:12,72.8,5.51,139.9,11.7,85.9,0,0
2025-01-09 22:48,74.2,6.73,89.2,60.8,172.7,0,0
2025-01-10 02:24,73.5,6.8,123.3,105.5,29.1,0,0
2025-01-10 06:00,72.1,6.26,118.3,38.3,139.6,1,0
2025-01-10 09:36,77.9,6.06,110.8,32.4,102.9,0,0
2025-01-10 13:12,74.5,6.9,51.1,130.0,112.2,0,0
2025-01-10 16:48,70.9,5.56,113.1,12.3,171.3,0,0
2025-01-10 20:24,68.7,6.93,73.2,97.0,154.4,0,0
2025-01-11 00:00,65.2,5.66,119.0,132.9,40.3,0,0
2025-01-11 03:36,59.8,6.61,13.7,76.8,164.6,1,0
2025-01-11 07:12,71.3,6.6,24.1,121.6,56.4,1,0
2025-01-11 10:48,79.7,5.74,105.4,118.1,146.3,0,0
2025-01-11 14:24,80.2,6.95,43.3,38.0,38.7,0,0
2025-01-11 18:00,71.5,6.03,69.8,43.4,10.8,0,0
2025-01-11 21:36,72.7,6.21,45.9,68.0,191.1,0,0
2025-01-12 01:12,72.9,6.47,46.6,70.9,199.1,0,0
2025-01-12 04:48,69.1,6.01,102.6,122.6,80.3,1,0
2025-01-12 08:24,84.2,6.14,102.6,43.5,190.8,1,0
2025-01-12 12:00,92.8,6.31,41.4,66.2,184.5,0,0
2025-01-12 15:36,89.6,6.03,58.9,142.4,31.9,0,0
2025-01-12 19:12,92.1,6.83,121.5,36.4,78.1,0,0
2025-01-12 22:48,94.4,6.93,138.9,44.4,47.5,0,0
2025-01-13 02:24,94.2,6.23,82.5,96.9,31.0,0,0
2025-01-13 06:00,94.8,6.87,132.7,134.1,197.4,0,0
2025-01-13 09:36,94.4,5.57,129.1,43.0,72.5,0,0
2025-01-13 13:12,92.8,6.41,55.9,57.4,186.5,0,0
2025-01-13 16:48,89.7,6.73,27.9,39.8,82.5,0,0
2025-01-13 20:24,89.5,5.84,84.7,136.0,175.5,0,0
2025-01-14 00:00,84.9,5.65,36.9,62.8,136.0,0,0
2025-01-14 03:36,80.4,6.02,36.5,125.7,146.0,0,0
2025-01-14 07:12,77.8,6.12,101.1,77.8,112.6,1,0
2025-01-14 10:48,85.8,6.98,112.0,120.9,34.3,0,0
2025-01-14 14:24,77.0,6.26,57.7,17.4,87.1,0,0
2025-01-14 18:00,75.6,6.55,20.3,28.0,14.2,0,0
2025-01-14 21:36,77.1,5.65,23.2,139.4,184.3,1,0
2025-01-15 01:12,86.0,6.94,84.1,56.6,101.0,1,0
2025-01-15 04:48,93.5,5.91,85.9,106.5,110.5,1,0
2025-01-15 08:24,95.0,6.45,53.9,140.0,104.7,0,0
2025-01-15 12:00,89.0,6.22,127.3,7.2,179.4,0,0
2025-01-15 15:36,85.3,6.23,72.0,10.5,71.8,0,0
2025-01-15 19:12,81.9,6.04,134.3,133.4,123.9,1,0
2025-01-15 22:48,90.2,6.41,52.0,6.4,201.3,1,0
2025-01-16 02:24,94.8,6.95,79.8,91.5,140.4,0,0
2025-01-16 06:00,93.6,6.37,39.5,38.9,111.8,0,0
2025-01-16 09:36,94.6,5.84,13.9,56.6,156.2,0,0
2025-01-16 13:12,93.3,6.55,94.9,129.9,24.4,0,0
2025-01-16 16:48,89.3,5.77,128.2,132.0,25.3,0,0
2025-01-16 20:24,86.2,6.87,66.7,22.3,63.1,0,0
2025-01-17 00:00,81.4,5.51,13.6,65.3,109.9,0,0
2025-01-17 03:36,78.7,5.66,95.6,60.0,41.5,0,0
2025-01-17 07:12,74.2,6.25,37.1,45.9,34.2,0,0
2025-01-17 10:48,69.4,6.93,62.7,26.7,147.5,0,0
2025-01-17 14:24,68.7,6.6,124.6,23.4,164.0,0,0
2025-01-17 18:00,64.7,6.18,90.6,39.4,179.9,1,0
2025-01-17 21:36,77.1,6.55,121.4,68.0,111.2,0,0
2025-01-18 01:12,74.6,6.59,134.7,26.3,19.9,0,0
2025-01-18 04:48,71.1,5.6,66.6,116.0,53.9,0,0
2025-01-18 08:24,74.9,6.76,31.3,7.1,108.8,0,0
2025-01-18 12:00,64.8,6.03,48.0,113.1,143.3,0,0
2025-01-18 15:36,62.1,6.7,128.3,5.0,167.5,1,0
2025-01-18 19:12,70.5,5.56,98.7,88.7,195.6,0,0
2025-01-18 22:48,67.9,6.51,43.1,121.5,16.1,1,0
2025-01-19 02:24,78.9,5.99,97.9,26.8,136.0,0,0
2025-01-19 06:00,80.6,6.81,63.7,24.9,60.8,0,0
2025-01-19 09:36,81.9,6.08,17.1,104.2,22.3,0,0
2025-01-19 13:12,77.3,6.01,117.4,91.7,61.7,0,0
2025-01-19 16:48,76.2,6.17,121.2,5.1,203.5,0,0
2025-01-19 20:24,72.0,6.7,19.9,62.4,121.8,0,0
2025-01-20 00:00,71.7,5.87,125.1,102.6,41.6,0,0
2025-01-20 03:36,67.4,6.31,116.5,128.1,32.7,0,0
2025-01-20 07:12,67.2,6.0,64.3,58.7,91.7,0,0
2025-01-20 10:48,68.2,5.96,54.6,59.6,39.5,0,0
2025-01-20 14:24,64.6,6.45,62.0,133.3,170.2,0,0
2025-01-20 18:00,59.7,6.67,82.8,6.4,132.8,0,0
2025-01-20 21:36,56.7,6.09,112.1,109.6,189.9,0,1
2025-01-21 01:12,73.6,5.93,54.0,13.3,179.1,0,0
2025-01-21 04:48,73.2,5.73,81.7,76.3,168.7,0,0
2025-01-21 08:24,69.6,6.07,16.2,47.2,132.9,0,0
2025-01-21 12:00,65.8,5.59,138.7,80.1,68.5,1,0
2025-01-21 15:36,73.9,5.98,131.8,38.6,152.9,0,0
2025-01-21 19:12,73.3,5.62,79.2,97.1,50.9,0,0
2025-01-21 22:48,73.7,6.38,30.0,62.5,204.9,0,0
2025-01-22 02:24,67.9,5.98,112.1,33.2,99.9,0,0
2025-01-22 06:00,73.1,6.58,113.5,103.0,167.4,0,0
2025-01-22 09:36,73.3,6.83,52.4,120.8,111.4,0,0
2025-01-22 13:12,68.5,6.65,92.8,14.9,124.6,1,0
2025-01-22 16:48,75.6,5.57,60.9,85.0,136.8,1,0
2025-01-22 20:24,89.3,6.69,56.8,85.8,150.1,0,0
2025-01-23 00:00,89.0,6.81,73.9,127.6,72.0,0,0
2025-01-23 03:36,86.3,6.59,125.1,71.0,145.7,0,0
2025-01-23 07:12,82.8,5.71,76.0,65.9,94.2,0,0
2025-01-23 10:48,81.0,6.51,92.7,109.0,99.4,0,0
2025-01-23 14:24,75.1,6.78,84.3,128.5,90.0,0,0
2025-01-23 18:00,69.7,5.62,131.1,56.9,18.9,1,0
2025-01-23 21:36,81.8,6.43,131.3,112.7,202.5,0,0
2025-01-24 01:12,80.6,5.85,18.5,43.1,133.3,0,0
2025-01-24 04:48,81.4,6.87,10.2,119.4,159.1,1,0
2025-01-24 08:24,90.0,5.58,105.8,94.8,82.1,0,0
2025-01-24 12:00,88.0,6.02,14.2,144.1,173.1,0,0
2025-01-24 15:36,88.0,5.8,97.4,38.2,86.5,0,0
2025-01-24 19:12,86.6,6.81,65.2,130.1,126.9,0,0
2025-01-24 22:48,83.0,5.51,84.4,122.4,53.8,0,0
2025-01-25 02:24,79.8,6.22,137.9,60.1,193.0,1,0
2025-01-25 06:00,90.3,6.45,18.5,77.3,158.2,1,0
2025-01-25 09:36,95.0,5.85,16.7,9.1,41.3,0,0
2025-01-25 13:12,93.8,6.19,79.6,48.8,68.3,0,0
2025-01-25 16:48,89.2,6.33,107.0,30.3,94.8,0,0
2025-01-25 20:24,89.2,5.9,61.1,84.7,37.7,0,0
2025-01-26 00:00,88.4,6.42,136.7,43.3,103.7,0,0
2025-01-26 03:36,87.6,6.96,80.5,34.9,70.6,0,0
2025-01-26 07:12,84.0,6.44,121.4,68.5,105.6,0,0
2025-01-26 10:48,80.9,6.0,111.2,40.9,38.6,0,0
2025-01-26 14:24,79.4,5.89,97.4,19.1,98.0,0,0
2025-01-26 18:00,77.1,5.71,110.6,134.3,72.3,1,0
2025-01-26 21:36,83.7,6.03,87.8,108.4,21.4,1,0
2025-01-27 01:12,95.0,6.69,67.0,120.2,116.7,1,0
2025-01-27 04:48,95.0,5.78,47.1,88.0,117.7,1,0
2025-01-27 08:24,95.0,5.82,61.7,113.9,99.3,1,0
2025-01-27 12:00,95.0,5.84,131.8,67.9,70.2,0,0
2025-01-27 15:36,87.2,5.91,96.0,116.3,89.7,0,0
2025-01-27 19:12,86.5,5.74,71.9,61.2,95.0,0,0
2025-01-27 22:48,87.4,5.8,15.0,103.0,154.8,0,0
2025-01-28 02:24,84.6,5.86,32.5,86.3,189.3,0,0
2025-01-28 06:00,84.2,5.9,106.4,70.4,83.9,0,0
2025-01-28 09:36,79.1,6.48,79.1,33.2,91.2,0,0
2025-01-28 13:12,81.4,5.71,63.7,130.3,46.7,0,0
2025-01-28 16:48,78.8,6.97,120.3,101.1,82.9,0,0
2025-01-28 20:24,77.1,6.61,64.8,117.4,52.1,1,0
2025-01-29 00:00,86.3,6.74,121.8,106.1,49.8,0,0
2025-01-29 03:36,89.3,5.92,54.9,130.3,204.5,1,0
2025-01-29 07:12,95.0,5.65,111.3,82.9,10.9,1,0
2025-01-29 10:48,89.8,6.03,136.0,109.0,20.6,1,0
2025-01-29 14:24,95.0,6.52,11.7,129.1,126.4,0,0
2025-01-29 18:00,92.1,6.07,116.4,44.8,87.9,0,0
2025-01-29 21:36,89.0,5.68,75.4,138.7,61.8,0,0
2025-01-30 01:12,86.7,6.83,76.6,22.6,162.6,0,0
2025-01-30 04:48,86.8,6.83,28.9,21.4,59.0,0,0
2025-01-30 08:24,87.4,6.79,52.2,10.2,126.2,0,0
2025-01-30 12:00,84.5,6.36,41.4,89.5,201.4,1,0
2025-01-30 15:36,91.9,6.77,30.7,23.0,43.5,1,0
2025-01-30 19:12,93.4,6.65,26.6,17.8,132.3,0,0
2025-01-30 22:48,94.3,6.15,129.2,26.1,96.1,0,0
2025-01-31 02:24,95.0,6.05,81.0,32.1,38.7,0,0
